size,taco_dense,taco_sparse,nst,st,dl,numpy,pytorch,tf,tf_jit
10,92,89,1,0,0,26,229,2557,82028
20,93,93,1,0,0,24,289,2718,67646
30,92,94,3,1,0,26,287,2617,87067
40,94,92,5,0,0,25,275,2583,60995
50,97,95,9,0,1,25,285,2718,75246
60,99,87,11,1,1,29,287,2612,68261
70,98,87,17,1,1,27,279,2663,85586
80,106,85,22,1,0,29,286,2582,59610
90,114,96,31,1,1,29,290,2608,73657
100,93,87,35,0,0,33,292,2652,61807
2000,9122,171,16360,24,5,7211,1656,8161,63489
4000,31662,236,62362,55,12,31991,4201,25048,79395
6000,62765,296,132865,102,17,64835,9157,51743,99668
8000,107822,355,231190,174,24,110386,16251,83993,138369
10000,160379,421,362080,252,29,171002,24792,120377,184718
12000,224969,529,512350,341,34,245837,35798,181012,237276
14000,295130,605,715056,419,41,330018,47838,254537,321207
16000,382399,645,932373,490,39,429709,62636,394274,445020
18000,492721,732,1181191,592,54,544229,78873,453099,481170
